contig,run,gene,diagnosis,read_count,length,mapped,unmapped,net_mapped,length_right,average_depth
k119_35367_14,SRR6468539,NP_417772.1,CD,10990509,411.0,62.0,14.0,48.0,411.0,12.33
None,SRR1765294,NP_417634.1,nonIBD,2598152,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011249,NP_414711.1,nonIBD,11674573,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011209,NP_417771.1,nonIBD,13537063,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011294,NP_418411.1,UC,10642311,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1211404,NP_417635.1,CD,4451423,0.0,0.0,0.0,0.0,0.0,0.0
k119_10641_2,SRR1765625,NP_417763.1,CD,3396330,207.0,16.0,2.0,14.0,207.0,6.51
k119_13455_26,SRR1765625,NP_417763.1,CD,3396330,354.0,78.0,16.0,62.0,354.0,19.67
None,SRR1219606,NP_417765.1,CD,3844303,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765586,NP_417757.1,CD,1561657,0.0,0.0,0.0,0.0,0.0,0.0
k119_7230_18,SRR6468507,NP_417767.1,CD,16916036,540.0,103.0,13.0,90.0,540.0,17.27
k119_25391_1,SRR6468507,NP_417767.1,CD,16916036,462.0,16.0,0.0,16.0,462.0,3.48
None,SRR6468592,NP_417770.1,CD,5214356,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011096,NP_417801.1,nonIBD,9336370,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR2145455,NP_417698.1,CD,12224655,0.0,0.0,0.0,0.0,0.0,0.0
k79_34384_5,ERR011192,NP_417637.1,nonIBD,10771537,2484.0,663.0,15.0,648.0,2484.0,19.64
k79_25240_3,ERR011192,NP_417637.1,nonIBD,10771537,2949.0,1095.0,35.0,1060.0,2949.0,27.22
k119_10871_3,SRR1215911,NP_418410.1,CD,4346295,432.0,39.0,5.0,34.0,432.0,8.11
None,SRR1215919,NP_417767.1,nonIBD,2242335,0.0,0.0,0.0,0.0,0.0,0.0
k119_7032_27,SRR1757180,NP_417762.1,nonIBD,3593895,504.0,83.0,7.0,76.0,504.0,14.24
None,SRR1765483,NP_417765.1,CD,3078571,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468678,NP_415431.1,nonIBD,16913572,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011170,NP_417801.1,nonIBD,10486803,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215927,NP_417772.1,CD,1657880,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215951,NP_417757.1,CD,2389490,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765203,NP_417769.1,CD,2089894,0.0,0.0,0.0,0.0,0.0,0.0
k79_3643_2,ERR011332,NP_417756.1,UC,12219796,372.0,29.0,17.0,12.0,372.0,5.34
None,SRR6468563,NP_417698.1,CD,2358870,0.0,0.0,0.0,0.0,0.0,0.0
k79_54941_2,ERR011344,NP_417773.1,nonIBD,10711127,669.0,60.0,22.0,38.0,669.0,6.48
None,ERR011091,NP_417762.1,nonIBD,7928489,0.0,0.0,0.0,0.0,0.0,0.0
k119_107881_1,SRR6468635,NP_417769.1,UC,58687743,330.0,22.0,2.0,20.0,330.0,5.81
k119_57014_7,SRR6468635,NP_417769.1,UC,58687743,369.0,50.0,14.0,36.0,369.0,11.77
k119_160980_13,SRR6468635,NP_417769.1,UC,58687743,369.0,55.0,9.0,46.0,369.0,12.91
None,SRR1215570,NP_417776.1,CD,4793835,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1214535,NP_417772.1,CD,1830635,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765155,NP_417698.1,CD,3670438,0.0,0.0,0.0,0.0,0.0,0.0
k119_36688_5,SRR1757263,NP_418411.1,nonIBD,3534859,705.0,142.0,8.0,134.0,705.0,18.86
None,SRR1765420,NP_418410.1,CD,1916082,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1211686,NP_417634.1,CD,4363333,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011287,NP_415431.1,UC,10311197,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765178,NP_417780.1,CD,1914522,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765432,NP_417775.1,CD,3547994,0.0,0.0,0.0,0.0,0.0,0.0
k119_27848_21,SRR1757147,NP_417757.1,nonIBD,3952968,357.0,55.0,9.0,46.0,357.0,14.19
None,ERR011214,NP_417800.1,nonIBD,11603697,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468710,NP_417771.1,UC,9321498,0.0,0.0,0.0,0.0,0.0,0.0
k119_33706_7,SRR6468684,NP_417779.1,UC,15018400,726.0,272.0,38.0,234.0,726.0,34.89
k119_46324_4,SRR6468684,NP_417779.1,UC,15018400,651.0,46.0,4.0,42.0,651.0,6.44
None,ERR011209,YP_026260.1,nonIBD,13537063,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011310,NP_416228.1,nonIBD,11347366,0.0,0.0,0.0,0.0,0.0,0.0
k119_23437_2,SRR1765587,NP_417780.1,nonIBD,3091394,312.0,26.0,4.0,22.0,312.0,7.08
None,SRR6468551,NP_417768.1,CD,4127076,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215697,NP_417697.1,CD,1297899,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215903,NP_417775.1,CD,3644360,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215850,NP_417776.1,CD,2672263,0.0,0.0,0.0,0.0,0.0,0.0
k119_18186_2,SRR1765617,NP_418412.1,CD,1557709,498.0,22.0,6.0,16.0,498.0,3.96
None,ERR011290,NP_414725.1,UC,10871450,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR2145508,NP_417634.1,CD,8030471,0.0,0.0,0.0,0.0,0.0,0.0
k119_42850_26,SRR6468675,NP_418410.1,CD,12639985,429.0,340.0,54.0,286.0,429.0,68.99
None,ERR011173,NP_417771.1,nonIBD,12373439,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011133,NP_414711.1,nonIBD,13322765,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765511,NP_417634.1,CD,2764850,0.0,0.0,0.0,0.0,0.0,0.0
k119_74912_2,SRR6468635,NP_417757.1,UC,58687743,366.0,1203.0,233.0,970.0,366.0,287.97
k119_127088_1,SRR6468635,NP_417757.1,UC,58687743,354.0,20.0,4.0,16.0,354.0,5.42
k119_160980_24,SRR6468635,NP_417757.1,UC,58687743,366.0,62.0,14.0,48.0,366.0,14.5
k79_15620_1,ERR011298,NP_417775.1,UC,10126503,249.0,21.0,5.0,16.0,249.0,6.08
None,ERR011243,NP_417635.1,nonIBD,12107689,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468643,NP_417772.1,nonIBD,19034744,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215820,NP_417634.1,CD,4002864,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765561,NP_417776.1,nonIBD,2562833,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215951,NP_417769.1,CD,2389490,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765275,NP_417772.1,CD,4508545,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468503,NP_417774.1,nonIBD,16081331,0.0,0.0,0.0,0.0,0.0,0.0
k119_12234_22,SRR6468596,NP_417763.1,CD,8391626,354.0,76.0,12.0,64.0,354.0,19.03
None,SRR6468573,NP_416228.1,CD,14662259,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765203,NP_417757.1,CD,2089894,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011332,NP_417768.1,UC,12219796,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468518,NP_416690.1,CD,10347438,0.0,0.0,0.0,0.0,0.0,0.0
k119_27848_33,SRR1757147,NP_417769.1,nonIBD,3952968,372.0,73.0,11.0,62.0,372.0,17.2
k119_16201_3,SRR1765221,NP_417637.1,CD,3410892,2901.0,219.0,5.0,214.0,2901.0,7.46
None,ERR011088,NP_417800.1,nonIBD,10868175,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011157,NP_417776.1,nonIBD,17260196,0.0,0.0,0.0,0.0,0.0,0.0
k119_14309_25,SRR6468511,NP_418411.1,UC,17871301,705.0,214.0,16.0,198.0,705.0,28.16
None,ERR011217,NP_417770.1,nonIBD,10495824,0.0,0.0,0.0,0.0,0.0,0.0
k119_40744_10,SRR6468713,NP_417801.1,CD,11470715,375.0,60.0,10.0,50.0,375.0,13.72
None,ERR011282,NP_417767.1,UC,9405490,0.0,0.0,0.0,0.0,0.0,0.0
k119_50740_19,SRR6468659,NP_417760.1,nonIBD,19018952,441.0,109.0,11.0,98.0,441.0,22.14
k119_217059_8,SRR6468617,NP_417637.1,nonIBD,66861721,2385.0,2175.0,392.0,1783.0,2385.0,74.52
k119_208432_40,SRR6468617,NP_417637.1,nonIBD,66861721,2781.0,858.0,93.0,765.0,2781.0,28.4
k119_136054_262,SRR6468617,NP_417637.1,nonIBD,66861721,2910.0,1101.0,31.0,1070.0,2910.0,36.25
k119_67203_5,SRR6468617,NP_417637.1,nonIBD,66861721,2850.0,410.0,40.0,370.0,2850.0,11.91
k119_89382_97,SRR6468617,NP_417637.1,nonIBD,66861721,2850.0,570.0,18.0,552.0,2850.0,18.98
k79_87427_4,ERR011127,NP_417634.1,nonIBD,10034502,270.0,128.0,18.0,110.0,270.0,32.71
None,ERR011169,NP_417763.1,nonIBD,13714087,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011300,NP_417698.1,UC,9175456,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468551,NP_417756.1,CD,4127076,0.0,0.0,0.0,0.0,0.0,0.0
k119_12488_3,SRR1765221,NP_416229.1,CD,3410892,990.0,51.0,3.0,48.0,990.0,4.93
None,SRR6468527,NP_417773.1,CD,13618482,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765505,NP_414711.1,CD,6305008,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1211526,NP_415431.1,CD,3843923,0.0,0.0,0.0,0.0,0.0,0.0
k119_55475_1,SRR1211157,YP_026260.1,CD,4028773,636.0,18.0,2.0,16.0,636.0,2.76
k119_229211_12,SRR6468617,NP_416229.1,nonIBD,66861721,1026.0,177.0,7.0,170.0,1026.0,16.02
k119_125072_32,SRR6468617,NP_416229.1,nonIBD,66861721,1020.0,366.0,26.0,340.0,1020.0,33.43
None,ERR011221,NP_418412.1,nonIBD,11186918,0.0,0.0,0.0,0.0,0.0,0.0
k119_10880_6,SRR6468667,NP_417775.1,UC,17611712,279.0,668.0,134.0,534.0,279.0,203.24
k119_11196_2,SRR6468667,NP_417775.1,UC,17611712,279.0,99.0,35.0,64.0,279.0,27.24
None,ERR011229,NP_417765.1,nonIBD,11070884,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011095,YP_026260.1,nonIBD,10813609,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR2145471,YP_026260.1,CD,5829202,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215626,NP_417769.1,CD,4437324,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468563,NP_417776.1,CD,2358870,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011125,NP_418411.1,nonIBD,10038767,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215294,NP_415431.1,CD,1830821,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011327,NP_417801.1,UC,11192649,0.0,0.0,0.0,0.0,0.0,0.0
k119_22778_3,SRR6468623,NP_417770.1,CD,16910383,258.0,43.0,7.0,36.0,258.0,13.93
k119_57281_28,SRR6468623,NP_417770.1,CD,16910383,255.0,108.0,12.0,96.0,255.0,35.05
None,SRR1765155,NP_417776.1,CD,3670438,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215570,NP_417698.1,CD,4793835,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011223,NP_417637.1,nonIBD,9050143,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765468,YP_026260.1,CD,1432042,0.0,0.0,0.0,0.0,0.0,0.0
k119_36348_4,SRR2145291,NP_418410.1,CD,28129138,435.0,104.0,24.0,80.0,435.0,21.33
k119_62922_2,SRR2145299,NP_417767.1,CD,22581430,540.0,36.0,6.0,30.0,540.0,6.19
k119_68119_21,SRR2145299,NP_417767.1,CD,22581430,540.0,183.0,33.0,150.0,540.0,31.21
None,SRR1765637,NP_417757.1,nonIBD,2603539,0.0,0.0,0.0,0.0,0.0,0.0
k119_10769_2,SRR6468513,NP_417634.1,UC,10589227,270.0,20.0,4.0,16.0,270.0,6.82
None,ERR011165,NP_417756.1,nonIBD,13367487,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011186,NP_417764.1,nonIBD,9172531,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011113,NP_417773.1,nonIBD,10367832,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212217,NP_417756.1,CD,4399333,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212261,NP_417773.1,CD,3644235,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1214875,NP_417770.1,CD,4800398,0.0,0.0,0.0,0.0,0.0,0.0
k119_17553_3,SRR1215830,NP_417774.1,CD,1981933,336.0,30.0,6.0,24.0,336.0,7.78
k119_14525_40,SRR6468615,NP_418412.1,nonIBD,65553312,540.0,255.0,79.0,176.0,540.0,38.17
None,ERR011223,NP_416229.1,nonIBD,9050143,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1211418,NP_418411.1,CD,4436734,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011288,NP_417635.1,UC,10646307,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011253,NP_417775.1,nonIBD,11038781,0.0,0.0,0.0,0.0,0.0,0.0
k119_57788_85,SRR6468688,NP_417772.1,UC,49498637,429.0,395.0,47.0,348.0,429.0,82.33
k119_58725_32,SRR6468688,NP_417772.1,UC,49498637,429.0,1161.0,143.0,1018.0,429.0,238.25
k119_113313_19,SRR6468688,NP_417772.1,UC,49498637,417.0,161.0,25.0,136.0,417.0,34.34
None,ERR011249,NP_417767.1,nonIBD,11674573,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011241,NP_418410.1,nonIBD,11200157,0.0,0.0,0.0,0.0,0.0,0.0
k119_17998_23,SRR6468692,NP_417760.1,CD,9312970,435.0,853.0,92.0,761.0,435.0,170.31
k119_3535_2,SRR6468692,NP_417760.1,CD,9312970,435.0,64.0,4.0,60.0,435.0,12.31
k119_34305_5,SRR6468684,NP_417697.1,UC,15018400,393.0,24.0,10.0,14.0,393.0,5.34
None,SRR1215697,NP_417779.1,CD,1297899,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468507,NP_414711.1,CD,16916036,0.0,0.0,0.0,0.0,0.0,0.0
k119_112453_3,SRR6468547,NP_417771.1,nonIBD,19712714,201.0,16.0,8.0,8.0,201.0,5.91
k119_54575_34,SRR6468547,NP_417771.1,nonIBD,19712714,192.0,45.0,15.0,30.0,192.0,18.54
None,SRR1765525,NP_417773.1,CD,3084410,0.0,0.0,0.0,0.0,0.0,0.0
k119_54771_11,SRR6468639,NP_417762.1,nonIBD,16990874,315.0,26.0,6.0,20.0,315.0,6.95
k119_34196_3,SRR6468639,NP_417762.1,nonIBD,16990874,504.0,305.0,57.0,248.0,504.0,56.17
None,ERR011201,NP_417757.1,nonIBD,2827391,0.0,0.0,0.0,0.0,0.0,0.0
k119_25616_23,SRR6468677,NP_417635.1,CD,14409469,459.0,57.0,7.0,50.0,459.0,11.24
k119_34304_1,SRR6468677,NP_417635.1,CD,14409469,561.0,91.0,6.0,85.0,561.0,14.98
k119_24297_1,SRR6468677,NP_417635.1,CD,14409469,693.0,48.0,3.0,45.0,693.0,6.88
k119_4179_2,SRR1765330,NP_417768.1,CD,3107111,321.0,20.0,6.0,14.0,321.0,5.69
None,SRR1215703,NP_417771.1,CD,1672992,0.0,0.0,0.0,0.0,0.0,0.0
k79_23221_2,ERR011277,NP_417772.1,UC,9303013,426.0,30.0,4.0,26.0,426.0,4.99
None,SRR1765513,NP_418411.1,CD,4737701,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212235,NP_416228.1,CD,4495927,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011137,NP_417774.1,nonIBD,10323753,0.0,0.0,0.0,0.0,0.0,0.0
k119_13615_22,SRR2145642,NP_417760.1,CD,14516840,435.0,159.0,69.0,90.0,435.0,32.96
k119_27480_23,SRR2145642,NP_417760.1,CD,14516840,435.0,61.0,29.0,32.0,435.0,13.12
k119_40182_22,SRR2145642,NP_417760.1,CD,14516840,441.0,54.0,22.0,32.0,441.0,11.13
None,ERR011147,NP_416228.1,nonIBD,9917184,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011348,NP_417778.1,nonIBD,10703567,0.0,0.0,0.0,0.0,0.0,0.0
k119_29981_9,SRR6468579,NP_417764.1,CD,55182306,534.0,46.0,4.0,42.0,534.0,8.0
k119_115999_16,SRR6468579,NP_417764.1,CD,55182306,534.0,106.0,16.0,90.0,534.0,17.98
k119_15547_9,SRR6468579,NP_417764.1,CD,55182306,543.0,60.0,4.0,56.0,543.0,10.49
k119_94904_25,SRR6468706,NP_417768.1,nonIBD,16192788,324.0,63.0,7.0,56.0,324.0,17.1
k119_168_7,SRR1215510,NP_417774.1,CD,1979229,336.0,29.0,3.0,26.0,336.0,7.64
None,SRR1215560,NP_416228.1,CD,1320323,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765216,NP_417800.1,nonIBD,1016189,0.0,0.0,0.0,0.0,0.0,0.0
k119_31239_1,SRR1765448,NP_417765.1,CD,5987292,399.0,19.0,7.0,12.0,399.0,4.4
None,SRR1214759,NP_415431.1,CD,1833545,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765637,NP_417769.1,nonIBD,2603539,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765561,NP_417698.1,nonIBD,2562833,0.0,0.0,0.0,0.0,0.0,0.0
k119_2992_5,SRR1765285,NP_415431.1,CD,3433611,1674.0,173.0,5.0,168.0,1674.0,9.93
None,SRR1215626,NP_417757.1,CD,4437324,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR2145451,NP_417765.1,CD,19526635,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011324,NP_417771.1,nonIBD,12472883,0.0,0.0,0.0,0.0,0.0,0.0
k119_55701_7,SRR6468620,NP_417800.1,CD,60064580,471.0,116.0,12.0,104.0,471.0,21.9
k119_12435_3,SRR6468620,NP_417800.1,CD,60064580,471.0,148.0,38.0,110.0,471.0,27.32
k119_45074_3,SRR6468620,NP_417800.1,CD,60064580,471.0,497.0,63.0,434.0,471.0,94.26
k119_29245_23,SRR2145459,NP_418412.1,CD,14831987,498.0,97.0,23.0,74.0,498.0,17.09
None,SRR1215650,NP_417772.1,CD,2310604,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215850,NP_417698.1,CD,2672263,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765476,NP_417770.1,CD,3082576,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765362,NP_417774.1,CD,3611100,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011165,NP_417768.1,nonIBD,13367487,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR2145360,NP_416690.1,nonIBD,18296168,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212217,NP_417768.1,CD,4399333,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212825,NP_417635.1,CD,3845634,0.0,0.0,0.0,0.0,0.0,0.0
k119_16708_1,SRR1215971,NP_418412.1,nonIBD,2241837,498.0,29.0,1.0,28.0,498.0,5.11
None,ERR011300,NP_417776.1,UC,9175456,0.0,0.0,0.0,0.0,0.0,0.0
k119_117301_2,SRR2145475,NP_417762.1,CD,20969202,519.0,29.0,7.0,22.0,519.0,4.99
k119_43785_1,SRR2145475,NP_417762.1,CD,20969202,417.0,13.0,3.0,10.0,417.0,2.95
k119_98354_33,SRR6468585,NP_417780.1,CD,51646652,312.0,407.0,81.0,326.0,312.0,111.98
k119_25649_2,SRR6468585,NP_417780.1,CD,51646652,312.0,73.0,9.0,64.0,312.0,19.26
k119_14297_13,SRR2145369,NP_418411.1,nonIBD,19070010,708.0,97.0,37.0,60.0,708.0,12.08
None,SRR1765422,NP_417635.1,CD,4530619,0.0,0.0,0.0,0.0,0.0,0.0
k119_30057_71,SRR1757261,NP_417634.1,nonIBD,3549550,270.0,35.0,7.0,28.0,270.0,11.61
k119_29583_3,SRR6468544,NP_417801.1,nonIBD,11591229,372.0,52.0,14.0,38.0,372.0,11.85
None,SRR1765370,NP_418411.1,CD,1360110,0.0,0.0,0.0,0.0,0.0,0.0
k119_1993_2,SRR6468706,NP_417756.1,nonIBD,16192788,414.0,22.0,2.0,20.0,414.0,4.52
None,ERR011157,NP_417698.1,nonIBD,17260196,0.0,0.0,0.0,0.0,0.0,0.0
k119_16017_2,SRR1219365,NP_417775.1,CD,4990455,279.0,35.0,5.0,30.0,279.0,10.98
k119_18714_3,SRR1219365,NP_417775.1,CD,4990455,279.0,15.0,3.0,12.0,279.0,4.46
None,SRR1214501,NP_417635.1,CD,1437242,0.0,0.0,0.0,0.0,0.0,0.0
